Longitude,Latitude,occurrence
-63.58,-11.51,1
-43.02,-21.18,1
-63.83193,-8.76,1
-63.8683,-8.73,1
-63.03969,-9.9,1
-62.25291,-10.72,1
-49.1070936,-26.48,1
-49.0842138,-26.48,1
-48.9364472,-26.59,1
-49.1073653,-26.45,1
-49.2351794,-26.42,1
-49.1306163,-26.51,1
-49.2482306,-26.42,1
-49.1057718,-26.35,1
-48.9736819,-26.45,1
-49.0193533,-26.47,1
-49.2398122,-26.43,1
-49.080572,-26.49,1
-49.078569,-26.41,1
-49.1176653,-26.48,1
-49.091329,-26.47,1
-49.0084004,-26.38,1
-49.2799523,-26.43,1
-49.1286395,-26.47,1
-51.3214916,-24,1
-49.2228384,-26.52,1
-49.1261535,-26.37,1
-48.9850959,-26.61,1
-49.0560091,-26.49,1
-49.0032759,-26.49,1
-49.2790244,-26.43,1
-49.2268379,-26.43,1
-48.9952352,-26.52,1
-49.1582075,-26.5,1
-49.1464636,-26.5,1
-49.0972154,-26.5,1
-49.2326271,-26.54,1
-49.1661818,-26.45,1
-49.2277558,-26.44,1
-49.2092609,-26.45,1
-49.1689402,-26.49,1
-49.0545519,-26.59,1
-49.0347344,-26.57,1
-49.1339318,-26.54,1
-49.1585767,-26.55,1
-49.050028,-26.42,1
-49.0802787,-26.52,1
-49.2752283,-26.43,1
-49.3459444,-26.46,1
-49.1132786,-26.51,1
-49.0869427,-26.48,1
-49.1170556,-26.49,1
-49.147674,-26.46,1
-49.1182545,-26.43,1
-49.0394502,-26.47,1
-49.1066572,-26.41,1
-49.0564073,-26.48,1
-49.1011247,-26.49,1
-49.1357676,-26.46,1
-38.8789563,-4.33,1
-38.9040102,-4.35,1
-43.2411073,-22.93,1
-38.9330716,-4.26,1
-38.955322,-4.3,1
-38.9208831,-4.23,1
-37.0151989,-6.87,1
-50.0308,-8.03,1
-38.6219897,-5.89,1
-41.1344532,-3.02,1
-62.931894,-0.62,1
-59.947178,-3.01,1
-60.316617,-1.8,1
-67.593333,-1.06,1
-65.016833,-0.41,1
-69.936939,-4.23,1
-60.021731,-3.12,1
-52.601944,-0.89,1
-51.066389,0.04,1