COUNTRY,NAME_1,ISO_1,01/01/2024,01/02/2024,01/03/2024,01/04/2024,01/05/2024,01/06/2024,01/07/2024,01/08/2024,01/09/2024,01/10/2024,01/11/2024,31/12/2024
Brazil,Acre,AC,0.555940828,0.516197485,0.523818047,0.522522189,0.555304734,0.541713018,0.420314349,0.340016272,0.313414941,0.395157544,0.473331361,0.532587278
Brazil,Alagoas,AL,0.495127962,0.510687204,0.523966825,0.647507109,0.702867299,0.752824645,0.7252891,0.64136019,0.577881517,0.477630332,0.423658768,0.490990521
Brazil,Amap‡,AP,0.583823474,0.57731831,0.547587793,0.568158685,0.577191549,0.559984038,0.532400939,0.39482723,0.340671362,0.335984977,0.346659155,0.442248826
Brazil,Amazonas,AM,0.496791716,0.445022679,0.398004646,0.428120718,0.473225215,0.443388928,0.400555083,0.320804394,0.295180172,0.30648933,0.31081282,0.446367194
Brazil,Bahia,BA,0.380381107,0.248519888,0.294705793,0.329256161,0.355810419,0.336823173,0.335894942,0.322574795,0.307991569,0.283580199,0.242152183,0.255885863
Brazil,Cear‡,CE,0.298129707,0.405994979,0.560917992,0.632512971,0.46092887,0.284261088,0.205825941,0.206704603,0.260357322,0.267886192,0.262905439,0.26952887
Brazil,Distrito Federal,DF,0.41975,0.294,0.345227273,0.38675,0.195863636,0.195363636,0.225772727,0.281681818,0.24075,0.231045455,0.257227273,0.290568182
Brazil,Esp’rito Santo,ES,0.75122314,0.608407713,0.579884298,0.719355372,0.749674931,0.595473829,0.577181818,0.619165289,0.612608815,0.617699725,0.464661157,0.573085399
Brazil,Goi‡s,GO,0.531465205,0.449919972,0.493581072,0.465332289,0.148736952,0.159572373,0.221081768,0.237009743,0.275376479,0.215858038,0.212263744,0.296450939
Brazil,Maranh‹o,MA,0.602584321,0.625389675,0.653824474,0.626090249,0.54841109,0.393993499,0.373800765,0.350562906,0.354596176,0.322413384,0.337720841,0.40589522
Brazil,Mato Grosso,MT,0.550623358,0.548710551,0.547149303,0.550096881,0.403482681,0.297233709,0.277332847,0.287814731,0.313448573,0.317839018,0.356166954,0.436145985
Brazil,Mato Grosso do Sul,MS,0.460780685,0.521536499,0.496988695,0.509662468,0.358177003,0.33561208,0.254640827,0.220731266,0.242123385,0.262826227,0.257546189,0.276739341
Brazil,Minas Gerais,MG,0.492133068,0.337893426,0.269888446,0.358212151,0.267273108,0.237572908,0.241057171,0.241464741,0.247150797,0.269311952,0.238606574,0.277472908
Brazil,Par‡,PA,0.588729658,0.5932262,0.560997966,0.570442331,0.567220911,0.459583808,0.389936534,0.348298007,0.354603539,0.377710537,0.410235557,0.479337469
Brazil,Para’ba,PB,0.234884532,0.240328976,0.349300654,0.460313725,0.348766885,0.395821351,0.355594771,0.301217865,0.313594771,0.260485839,0.253453159,0.26795207
Brazil,Paran‡,PR,0.465599086,0.521431753,0.45633695,0.399293547,0.330130211,0.349659623,0.335107367,0.298366077,0.2838755,0.417384923,0.39254426,0.378173044
Brazil,Pernambuco,PE,0.247030341,0.250787611,0.292466498,0.36923641,0.422132743,0.439597977,0.357994943,0.300651075,0.293060683,0.29582933,0.295787611,0.315310999
Brazil,Piau’,PI,0.25508491,0.25827802,0.315937894,0.29779573,0.200144105,0.113544396,0.1855541,0.214764677,0.25248229,0.254885978,0.210114022,0.191103833
Brazil,Rio de Janeiro,RJ,0.702534125,0.729115727,0.696020772,0.758014837,0.733792285,0.612866469,0.573697329,0.60064095,0.604599407,0.74179822,0.631053412,0.736418398
Brazil,Rio Grande do Norte,RN,0.287911483,0.28080622,0.491095694,0.592787081,0.374236842,0.394471292,0.324660287,0.295660287,0.306,0.290691388,0.289636364,0.313105263
Brazil,Rio Grande do Sul,RS,0.370882719,0.34185661,0.398336096,0.365502279,0.437278492,0.433888935,0.460191463,0.354320348,0.443231662,0.437319934,0.453745131,0.446481558
Brazil,Rond™nia,RO,0.673620214,0.649496172,0.632485452,0.648163349,0.669112302,0.518053088,0.371082185,0.393089842,0.420322103,0.483057682,0.534916794,0.612098009
Brazil,Roraima,RR,0.441699285,0.393228147,0.344730071,0.373371083,0.565223749,0.572183068,0.577785047,0.457969764,0.33335569,0.354782848,0.358004948,0.40893403
Brazil,Santa Catarina,SC,0.496213333,0.472991515,0.461301818,0.444373333,0.414604848,0.416888485,0.427722424,0.382318788,0.399327273,0.477740606,0.439568485,0.432498182
Brazil,S‹o Paulo,SP,0.541369555,0.57269555,0.496138173,0.437532553,0.280195316,0.296221546,0.2536637,0.237020609,0.25128103,0.356376112,0.285986885,0.290100234
Brazil,Sergipe,SE,0.524597484,0.50572956,0.577855346,0.69236478,0.760415094,0.786113208,0.767220126,0.715805031,0.643308176,0.443968553,0.379566038,0.440572327
Brazil,Tocantins,TO,0.535957697,0.523799389,0.568537724,0.515150022,0.324588312,0.172500218,0.232130833,0.262252072,0.290098997,0.247786742,0.343454427,0.38811775